,GT,Rule-based,GBDT,Hybrid
H-W-H,0.09700467161308052,0.03407529541082715,0.09178345699367958,0.1272327562517175
H,0.056608958505083816,0.046166529266281946,0.07749381698268755,0.06485298158834844
W-H,0.054135751580104426,0.025831272327562518,0.052212146194009344,0.05880736466062105
H-P-H,0.0343500961802693,0.02115965924704589,0.036273701566364384,0.04561692772739764
H-L-H,0.031327287716405604,0.02115965924704589,0.03022808463863699,0.03297609233305853
H-W,0.025556471558120363,0.00989282769991756,0.02280846386369882,0.030502885408079144
H-O-H,0.02418246771090959,0.015938444627644956,0.008793624622148942,0.018961253091508656
H-L,0.02225886232481451,0.03242649079417422,0.03022808463863699,0.029403682330310526
H-O,0.020610057708161583,0.01236603462489695,0.00741962077493817,0.010717230008244023
H-P,0.018961253091508656,0.02418246771090959,0.0217092607859302,0.023632866172025282
H-W-P-H,0.01731244847485573,0.005770816158285243,0.014564440780434186,0.026380873866446827
H-S-H,0.01236603462489695,0.0032976092333058533,0.0217092607859302,0.007144820005496016
H-W-O-H,0.011816433086012641,0.0019236053860950811,0.005221214619400934,0.009618026930475405
H-W-L-H,0.010992030777686177,0.00989282769991756,0.01236603462489695,0.017862050013740038
W,0.010992030777686177,0.011541632316570486,0.009068425391591096,0.009618026930475405
H-W-H-L-H,0.010167628469359714,0.0038472107721901623,0.010992030777686177,0.015938444627644956
L,0.00934322616103325,0.03352569387194284,0.00989282769991756,0.00989282769991756
O-H,0.00934322616103325,0.013740038472107722,0.0019236053860950811,0.0021984061555372354
L-H,0.006870019236053861,0.023083264633140973,0.007969222313822478,0.008244023083264633
H-He-H,0.006595218466611707,0.0002748007694421544,0.023632866172025282,0.011266831547128332
P,0.006320417697169552,0.012915636163781259,0.005496015388843089,0.006045616927727398
S-H,0.00494641384995878,0.0008244023083264633,0.009618026930475405,0.010717230008244023
H-P-L,0.0019236053860950811,0.015938444627644956,0.006870019236053861,0.005221214619400934
L-W-H,0.0010992030777686177,0.01236603462489695,0.0010992030777686177,0.0002748007694421544
L-W-L,0.0005496015388843089,0.013465237702665568,0.0002748007694421544,0.0002748007694421544
