hour,HEALTH,HOME,LEISURE,PURCHASE,STUDY,WORK
0,0.043478260869565216,0.7391304347826086,0.08695652173913043,0.13043478260869565,0.0,0.0
1,0.0,0.9772727272727273,0.022727272727272728,0.0,0.0,0.0
2,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0
3,0.0,0.875,0.125,0.0,0.0,0.0
4,0.0,0.2,0.4,0.4,0.0,0.0
5,0.0,0.15789473684210525,0.3684210526315789,0.15789473684210525,0.0,0.3157894736842105
6,0.01694915254237288,0.13559322033898305,0.2542372881355932,0.11864406779661017,0.0,0.4745762711864407
7,0.2864864864864865,0.24864864864864866,0.02702702702702703,0.04864864864864865,0.016216216216216217,0.372972972972973
8,0.004158004158004158,0.25363825363825365,0.158004158004158,0.02079002079002079,0.1101871101871102,0.45322245322245325
9,0.024509803921568627,0.3161764705882353,0.15196078431372548,0.03431372549019608,0.13725490196078433,0.33578431372549017
10,0.04046242774566474,0.24855491329479767,0.12716763005780346,0.1994219653179191,0.11560693641618497,0.26878612716763006
11,0.10803324099722991,0.2659279778393352,0.030470914127423823,0.31024930747922436,0.0110803324099723,0.2742382271468144
12,0.018970189701897018,0.34959349593495936,0.33875338753387535,0.08130081300813008,0.008130081300813009,0.2032520325203252
13,0.002369668246445498,0.33175355450236965,0.3293838862559242,0.0947867298578199,0.009478672985781991,0.23222748815165878
14,0.0024096385542168677,0.3373493975903614,0.236144578313253,0.19518072289156627,0.021686746987951807,0.20722891566265061
15,0.03204047217537943,0.5261382799325464,0.05733558178752108,0.26812816188870153,0.02023608768971332,0.09612141652613827
16,0.019067796610169493,0.5529661016949152,0.038135593220338986,0.2733050847457627,0.0423728813559322,0.07415254237288135
17,0.024608501118568233,0.5302013422818792,0.07158836689038031,0.3087248322147651,0.013422818791946308,0.05145413870246085
18,0.022988505747126436,0.5747126436781609,0.1839080459770115,0.1632183908045977,0.020689655172413793,0.034482758620689655
19,0.0030864197530864196,0.5740740740740741,0.38580246913580246,0.006172839506172839,0.009259259259259259,0.021604938271604937
20,0.0,0.6926829268292682,0.25365853658536586,0.03902439024390244,0.004878048780487805,0.00975609756097561
21,0.0,0.6815286624203821,0.2611464968152866,0.03184713375796178,0.0,0.025477707006369428
22,0.010638297872340425,0.8404255319148937,0.10638297872340426,0.02127659574468085,0.0,0.02127659574468085
23,0.015384615384615385,0.8153846153846154,0.06153846153846154,0.1076923076923077,0.0,0.0
